Region,Employed Persons,Urban,Rural,Primary Industry,Secondary Industry,Tertiary Industry
  National Total,74041,47032,27009,16882,21520,35639
  Beijing       ,1129,989,140,24,183,922
  Tianjin       ,635,535,100,32,218,385
  Hebei         ,3623,2151,1472,789,1147,1687
  Shanxi        ,1704,1023,681,399,434,871
  Inner Mongolia,1211,784,427,416,214,581
  Liaoning      ,2091,1431,660,589,466,1036
  Jilin         ,1170,689,481,451,176,543
  Heilongjiang  ,1319,854,465,472,207,640
  Shanghai      ,1345,1178,167,20,436,889
  Jiangsu       ,4840,3554,1286,620,1959,2261
  Zhejiang      ,3921,2861,1060,197,1744,1980
  Anhui         ,3191,1827,1364,768,1025,1398
  Fujian        ,2192,1527,665,289,731,1172
  Jiangxi       ,2231,1352,879,391,777,1063
  Shandong      ,5370,3352,2018,1267,1818,2285
  Henan         ,4828,2638,2190,1224,1411,2193
  Hubei         ,3254,1930,1324,874,871,1509
  Hunan         ,3238,1916,1322,773,887,1578
  Guangdong     ,7057,5573,1484,688,2584,3785
  Guangxi       ,2529,1361,1168,829,655,1045
  Hainan        ,552,338,214,168,62,322
  Chongqing     ,1662,1109,553,361,425,876
  Sichuan       ,4722,2545,2177,1535,1100,2087
  Guizhou       ,1884,1005,879,649,461,774
  Yunnan        ,2748,1316,1432,1184,493,1071
  Xizang         ,194,79,115,67,30,97
  Shaanxi       ,2085,1268,817,619,437,1029
  Gansu         ,1316,635,681,587,231,498
  Qinghai       ,271,176,95,70,59,142
  Ningxia       ,341,227,114,84,81,176
  Xinjiang      ,1388,809,579,446,198,744
,,,,,,
